# Benchmark GPU-STREAM running on        Intel(R) Xeon(R) CPU E5-2697 v2 @ 2.70GHz
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    56320000            429.68             25254.190          25797.143          28431.880          29180.717          
    56729600            432.81             25343.392          25668.050          28634.441          28994.216          
    57139200            435.93             25241.647          25664.679          28384.509          29474.720          
    57548800            439.06             25321.219          25690.712          28573.197          29436.726          
    57958400            442.18             25321.093          25883.674          28572.048          29030.003          
    58368000            445.31             25714.191          25639.359          28569.168          29318.990          
    58777600            448.43             25398.120          25643.279          28594.701          29173.644          
    59187200            451.56             25437.030          25582.020          28588.247          29030.529          
    59596800            454.68             25372.487          25534.874          28369.297          29466.897          
    60006400            457.81             25494.633          25643.076          28550.118          29304.770          
    60416000            460.93             25234.448          25332.320          28659.775          29482.006          
    60825600            464.06             25800.891          25776.290          28503.093          29244.249          
    61235200            467.18             25380.494          25625.443          28372.069          28947.110          
    61644800            470.31             25197.139          25670.626          28511.210          29272.193          
    62054400            473.43             25559.799          26113.737          28450.639          28978.200          
    62464000            476.56             25099.804          25524.812          28320.852          29176.287          
    62873600            479.68             25170.835          25590.232          28532.436          29189.794          
    63283200            482.81             25257.713          25713.119          28734.071          29163.885          
    63692800            485.93             25325.798          25715.632          28650.121          29047.548          
    64102400            489.06             25325.030          25624.944          28728.830          29378.941          
    64512000            492.18             25544.249          25916.240          28829.494          29137.115          
    64921600            495.31             25195.760          25719.164          28639.776          29273.083          
    65331200            498.43             25253.043          25869.901          28632.059          29210.269          
    65740800            501.56             25124.273          25539.706          28736.007          29099.043          
    66150400            504.68             25122.393          25698.832          28495.703          29231.286          
    66560000            507.81             25539.222          25542.897          28729.385          29133.884          
    66969600            510.93             24988.657          25548.118          28323.942          28734.610          
    67379200            514.06             25277.074          25243.928          28414.556          29155.338          
    67788800            517.18             25144.797          25630.247          28778.434          29455.249          
    68198400            520.31             25436.487          25936.498          28603.212          29332.645          
    68608000            523.43             25375.714          25582.698          28700.272          29042.472          
    69017600            526.56             25167.664          25759.444          28684.626          29203.498          
    69427200            529.68             25195.291          25760.887          28934.028          29279.249          
    69836800            532.81             25246.589          25603.520          28489.312          29360.156          
    70246400            535.93             25273.603          25524.422          28360.421          29022.441          
    70656000            539.06             25708.867          25635.993          28813.213          29338.131          
    71065600            542.18             25031.362          25712.306          28498.436          29275.724          
    71475200            545.31             25537.118          25582.247          28492.257          29013.189          
    71884800            548.43             25217.207          26038.731          28507.332          29323.280          
    72294400            551.56             25559.836          25695.539          28516.157          29408.888          
    72704000            554.68             25193.052          25853.184          28645.708          29224.802          
    73113600            557.81             25549.679          25640.962          28781.577          29120.706          
    73523200            560.93             25229.940          25620.071          28613.816          29102.251          
    73932800            564.06             25160.048          25744.299          28606.229          29214.271          
    74342400            567.18             25246.278          25624.265          28767.032          29463.928          
    74752000            570.31             25154.731          25532.780          28676.321          29380.761          
    75161600            573.43             25125.579          25579.308          28487.388          29540.300          
    75571200            576.56             25798.822          25605.963          28561.894          29153.212          
    75980800            579.68             25529.574          25852.603          28559.737          28915.233          
    76390400            582.81             25223.840          25647.272          28770.924          29163.598          
    76800000            585.93             25632.040          25823.264          28397.991          29222.354          
    77209600            589.06             25253.043          25652.628          28918.356          28983.489          
    77619200            592.18             25800.503          25655.529          28608.781          29126.314          
    78028800            595.31             25342.768          25595.276          28368.951          29242.523          
    78438400            598.43             25068.201          25583.822          28812.930          29328.705          
    78848000            601.56             25593.768          25564.724          28635.555          29328.333          
    79257600            604.68             25203.649          25514.498          29117.859          29133.914          
    79667200            607.81             25473.125          25694.434          28647.391          29317.706          
    80076800            610.93             25502.673          26056.064          28507.650          29015.962          
    80486400            614.06             25755.648          25661.215          28589.433          29329.997          
    80896000            617.18             25469.529          25542.408          28533.067          29472.099          
    81305600            620.31             25401.054          25495.142          28690.609          29346.905          
    81715200            623.43             25319.891          25884.839          28361.024          29276.797          
    82124800            626.56             25168.495          25657.485          28811.507          29431.456          
    82534400            629.68             25492.759          25792.000          28438.074          29252.822          
    82944000            632.81             24977.960          25599.012          28580.437          29350.318          
    83353600            635.93             25493.808          25510.876          28716.627          29367.093          
    83763200            639.06             25398.662          25578.990          28855.670          29335.271          
    84172800            642.18             25117.774          25603.894          28650.100          28819.722          
    84582400            645.31             25384.398          25847.404          28715.398          29525.229          
    84992000            648.43             25609.642          25646.349          28766.560          29168.032          
    85401600            651.56             25211.270          25476.854          28438.761          29039.521          
    85811200            654.68             25382.766          25510.102          28395.500          29392.011          
    86220800            657.81             25463.910          25362.322          28604.396          29565.641          
    86630400            660.93             25330.063          25723.047          28574.388          29410.270          
    87040000            664.06             25425.202          25822.625          28549.405          29421.557          
    87449600            667.18             25240.711          25598.127          28539.828          29162.423          
    87859200            670.31             25374.498          25696.399          28670.385          29399.097          
    88268800            673.43             25497.397          25564.319          28426.429          29386.608          
    88678400            676.56             25739.322          25658.331          28733.382          29265.189          
    89088000            679.68             25524.819          25767.060          28812.807          29312.897          
    89497600            682.81             25392.992          25711.698          28682.064          29400.912          
    89907200            685.93             25562.243          25882.817          28769.920          29309.601          
    90316800            689.06             25287.756          25786.381          29151.692          29139.935          
    90726400            692.18             25271.098          25866.401          29158.022          29148.264          
    91136000            695.31             25345.037          25634.654          28593.181          29147.198          
    91545600            698.43             25523.718          25689.349          28810.574          29046.727          
    91955200            701.56             25310.222          25582.195          28756.969          29331.802          
    92364800            704.68             25243.612          25458.437          28613.261          29561.466          
    92774400            707.81             25515.950          25731.355          28801.490          29384.947          
    93184000            710.93             25485.351          25675.386          28927.152          29020.243          
    93593600            714.06             25389.061          25722.686          28469.536          29217.185          
    94003200            717.18             25431.616          25517.911          28553.236          29588.281          
    94412800            720.31             25474.372          25819.656          28803.783          29157.377          
    94822400            723.43             25781.844          25708.449          28677.936          29154.444          
    95232000            726.56             25239.974          25838.765          28864.742          29302.530          
    95641600            729.68             25391.435          25651.065          28555.059          29319.552          
    96051200            732.81             25526.862          25696.739          28783.339          29118.189          
    96460800            735.93             25451.398          25403.641          28708.571          29123.539          
    96870400            739.06             25247.213          25405.714          28545.867          29264.508          
    97280000            742.18             25492.662          25661.622          28450.337          29611.141          
    97689600            745.31             25353.754          25613.005          28781.262          29284.551          
    98099200            748.43             25410.186          25525.894          28601.740          29207.781          
    98508800            751.56             25368.842          25755.618          28439.586          29079.373          
    98918400            754.68             25243.140          25982.014          28636.723          29292.520          
    99328000            757.81             25268.674          25622.287          28560.653          29471.269          
    99737600            760.93             25276.822          25471.694          28801.617          29145.996          
    100147200            764.06             25600.000          25504.651          28913.637          29481.433          
    100556800            767.18             25101.939          25466.686          28857.280          28907.746          
    100966400            770.31             25277.542          25595.133          28641.935          29178.581          
    101376000            773.43             25253.639          25562.882          28710.958          29057.972          
    101785600            776.56             25514.172          25728.204          28566.051          29276.779          
    102195200            779.68             25426.435          25748.755          28645.498          29129.619          
