# Benchmark GPU-STREAM running on  Tesla C2070
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    53452800            407.81             102565.306          102812.456          102009.371          102022.400          
    53862400            410.93             102855.038          103219.835          101810.621          101753.538          
    54272000            414.06             102771.115          102829.763          101501.710          101459.743          
    54681600            417.18             102502.058          102565.841          101802.893          101796.276          
    55091200            420.31             103378.141          103171.944          102012.232          101979.257          
    55500800            423.43             102674.137          102952.646          101945.033          101907.447          
    55910400            426.56             102474.451          102582.796          101561.159          101571.899          
    56320000            429.68             103572.380          103195.461          101693.446          101672.610          
    56729600            432.81             102883.625          102849.433          102045.366          102039.485          
    57139200            435.93             102600.616          102944.355          101909.409          101909.409          
    57548800            439.06             103171.133          103456.122          101568.229          101603.197          
    57958400            442.18             102738.870          102974.719          101558.286          101546.372          
    58368000            445.31             102610.622          102739.920          101957.313          101937.622          
    58777600            448.43             103192.913          103136.792          102051.325          102054.935          
    59187200            451.56             102929.942          103102.913          101762.444          101733.430          
    59596800            454.68             102632.543          102590.915          101501.766          101446.959          
    60006400            457.81             103246.343          103345.697          101910.462          101891.830          
    60416000            460.93             102957.454          103067.856          101960.081          101955.572          
    60825600            464.06             102431.751          102667.969          101834.140          101816.775          
    61235200            467.18             103085.907          103261.959          101504.116          101481.119          
    61644800            470.31             102658.960          102993.636          101901.916          101895.045          
    62054400            473.43             102790.394          102923.598          102105.996          102032.713          
    62464000            476.56             103320.954          103548.240          101921.997          101899.745          
    62873600            479.68             102700.795          102993.070          101410.586          101482.989          
    63283200            482.81             102532.043          102667.831          101778.876          101764.589          
    63692800            485.93             103089.244          103243.867          102023.168          102013.656          
    64102400            489.06             102920.335          102964.361          101963.013          101985.670          
    64512000            492.18             102986.841          102660.624          101563.811          101508.464          
    64921600            495.31             103170.545          103114.032          101739.283          101698.470          
    65331200            498.43             102726.909          102862.458          101995.568          102010.864          
    65740800            501.56             102564.211          102798.735          102013.068          102037.485          
    66150400            504.68             103192.695          103336.255          101578.065          101613.485          
    66560000            507.81             102648.300          102868.517          101608.599          101590.545          
    66969600            510.93             102581.125          102649.767          101944.038          101936.364          
    67379200            514.06             103594.356          103632.606          102015.317          101980.718          
    67788800            517.18             102945.264          102781.062          101710.522          101644.391          
    68198400            520.31             102407.131          102921.863          101516.154          101501.209          
    68608000            523.43             103170.962          103382.695          101948.333          101964.204          
    69017600            526.56             102767.625          102984.492          102037.205          102032.378          
    69427200            529.68             102744.442          102549.675          101794.892          101796.192          
    69836800            532.81             103023.827          103566.701          101490.406          101445.361          
    70246400            535.93             102640.620          103250.424          101837.586          101833.293          
    70656000            539.06             102729.348          102676.566          101998.504          102019.926          
    71065600            542.18             103381.312          103266.550          101866.583          101879.330          
    71475200            545.31             102682.211          103221.418          101553.941          101551.428          
    71884800            548.43             102518.473          102802.625          101862.579          101857.113          
    72294400            551.56             103442.641          103202.846          102039.891          102022.288          
    72704000            554.68             102920.482          102806.139          101932.635          101937.631          
    73113600            557.81             102675.518          102664.822          101541.208          101492.807          
    73523200            560.93             102902.537          103301.396          101638.496          101618.460          
    73932800            564.06             102672.912          103119.228          102039.699          102067.168          
    74342400            567.18             102612.230          102685.860          101990.160          101938.474          
    74752000            570.31             103150.864          103085.048          101614.972          101645.128          
    75161600            573.43             102628.704          102873.961          101531.947          101508.008          
    75571200            576.56             102520.719          102558.371          101962.606          101848.636          
    75980800            579.68             102841.312          103316.209          101849.818          101824.004          
    76390400            582.81             102744.361          102842.777          101708.920          101711.679          
    76800000            585.93             102516.442          102290.541          101438.348          101376.391          
    77209600            589.06             103138.917          102966.006          101820.855          101802.098          
    77619200            592.18             102593.708          102866.717          101902.681          101899.955          
    78028800            595.31             102553.460          102745.620          101843.946          101877.604          
    78438400            598.43             102946.509          103241.066          101495.370          101408.301          
    78848000            601.56             102556.365          102765.820          101888.786          101865.800          
    79257600            604.68             102435.990          102551.699          102046.616          102011.832          
    79667200            607.81             103388.251          103490.264          101854.235          101864.849          
    80076800            610.93             102711.327          103041.904          101367.181          101386.604          
    80486400            614.06             102561.402          102436.051          101727.913          101714.447          
    80896000            617.18             102967.085          103113.745          101884.366          101856.737          
    81305600            620.31             102845.594          102833.099          101916.884          101891.611          
    81715200            623.43             102793.850          102574.750          101537.320          101509.056          
    82124800            626.56             102873.578          103196.905          101597.345          101579.794          
    82534400            629.68             102748.433          102979.555          101997.945          101929.760          
    82944000            632.81             102625.935          102615.405          102028.598          101974.571          
    83353600            635.93             102743.185          102846.106          101516.398          101472.521          
    83763200            639.06             102713.650          102968.838          101653.531          101621.944          
    84172800            642.18             102467.798          102689.885          101967.676          101924.919          
    84582400            645.31             103320.550          103102.841          102012.185          101950.992          
    84992000            648.43             102988.383          102969.316          101748.046          101728.556          
    85401600            651.56             102480.278          102625.416          101532.726          101542.570          
    85811200            654.68             103197.200          103176.618          101908.279          101913.917          
    86220800            657.81             102753.383          102942.949          102061.044          101988.322          
    86630400            660.93             102303.795          102586.180          101739.834          101716.196          
    87040000            664.06             103048.318          103171.488          101343.902          101359.008          
    87449600            667.18             102734.745          102893.027          101930.640          101861.534          
    87859200            670.31             102600.867          102760.635          102059.119          102013.249          
    88268800            673.43             103306.690          103234.967          101859.007          101796.454          
    88678400            676.56             102764.943          102952.426          101476.004          101477.354          
    89088000            679.68             102654.897          102757.236          101845.343          101795.904          
    89497600            682.81             103067.254          103076.068          101988.894          101928.725          
    89907200            685.93             102915.552          102816.911          101852.076          101899.776          
    90316800            689.06             102405.551          102625.490          101558.092          101500.302          
    90726400            692.18             103040.829          103298.425          101658.079          101568.991          
    91136000            695.31             102744.012          102922.302          102018.234          102008.266          
    91545600            698.43             102611.953          102485.082          101998.277          101943.412          
    91955200            701.56             103068.540          103355.775          101580.858          101536.464          
    92364800            704.68             102858.824          102859.318          101559.605          101572.932          
    92774400            707.81             102789.310          102631.466          101962.019          101969.196          
