# Benchmark GPU-STREAM running on  Intel(R) Many Integrated Core Acceleration Card
# Precision: double. Range: [204800 .. 102400000] step 409600
# For more details see https://github.com/UoB-HPC/GPU-STREAM
#  ArrayElements    ArraySize(MB)      Copy(MBytes/s)    Mul(MBytes/s)      Add(MBytes/s)      Triad(MBytes/s)
    58777600            448.43             60599.369          58401.639          70515.491          71023.180          
    59187200            451.56             55480.415          55876.516          67083.485          74672.386          
    59596800            454.68             53495.024          54603.951          70014.352          67277.667          
    60006400            457.81             49743.661          54881.811          66031.802          70206.874          
    60416000            460.93             51450.713          52237.557          66555.770          70545.101          
    60825600            464.06             52888.952          55780.914          73180.991          73527.471          
    61235200            467.18             50862.441          51888.741          73120.295          74465.180          
    61644800            470.31             52763.965          52494.374          71861.045          73046.075          
    62054400            473.43             53168.598          50755.056          73048.146          74558.478          
    62464000            476.56             55918.089          53637.310          73479.855          73874.538          
    62873600            479.68             54035.430          52630.407          74260.157          73827.800          
    63283200            482.81             52940.040          53806.526          71546.863          71875.292          
    63692800            485.93             55575.329          57702.554          73227.650          73056.165          
    64102400            489.06             54465.424          56064.196          71413.341          73804.634          
    64512000            492.18             54714.657          55354.320          71494.644          70879.326          
    64921600            495.31             52856.992          54685.212          70378.897          72035.062          
    65331200            498.43             55053.415          55793.926          70182.570          73709.515          
    65740800            501.56             54432.457          53578.484          70682.699          73710.778          
    66150400            504.68             54235.532          55237.535          73357.804          73811.409          
    66560000            507.81             55774.589          56391.845          67817.449          71199.857          
    66969600            510.93             56768.932          54736.085          71878.288          71759.550          
    67379200            514.06             55203.400          56419.678          74606.727          73648.531          
    67788800            517.18             57387.344          57655.794          74113.120          74643.568          
    68198400            520.31             58047.367          55700.582          74091.784          75042.942          
    68608000            523.43             58954.243          58720.873          74668.601          75063.457          
    69017600            526.56             58236.557          61291.092          74674.168          74920.729          
    69427200            529.68             59333.148          60032.166          74733.262          74783.573          
    69836800            532.81             58630.958          61250.277          73836.264          74258.261          
    70246400            535.93             59559.239          59285.916          74489.180          74132.161          
    70656000            539.06             59909.698          60795.698          74166.550          74567.697          
    71065600            542.18             59888.844          60743.074          73345.420          74310.491          
    71475200            545.31             59386.363          62987.618          74437.179          74560.125          
    71884800            548.43             58318.467          57290.137          74899.505          75006.965          
    72294400            551.56             59673.463          59124.433          72895.790          74402.470          
    72704000            554.68             58780.394          60884.748          74310.975          74734.281          
    73113600            557.81             55785.293          57408.726          72521.342          74277.277          
    73523200            560.93             55567.841          52667.049          73278.937          74041.490          
    73932800            564.06             53953.241          53739.996          71721.390          73711.665          
    74342400            567.18             55432.864          53292.043          74240.320          72875.775          
    74752000            570.31             55808.502          53955.519          71547.278          69701.542          
    75161600            573.43             56536.392          53410.268          74402.079          73194.498          
    75571200            576.56             52837.756          55068.507          74708.934          72892.404          
    75980800            579.68             56488.676          54941.601          73187.478          73974.249          
    76390400            582.81             52728.490          53850.571          73587.926          74682.048          
    76800000            585.93             55326.430          56063.509          71397.583          70528.813          
    77209600            589.06             51857.678          56007.326          67819.434          74439.818          
    77619200            592.18             51132.543          53172.941          72600.678          73940.653          
    78028800            595.31             53519.990          53339.349          73513.826          74230.664          
    78438400            598.43             56675.145          52856.065          69842.012          74573.031          
    78848000            601.56             56732.833          55928.005          75063.546          75066.524          
    79257600            604.68             58061.517          52897.910          74534.007          70961.068          
    79667200            607.81             57091.199          52801.259          73201.103          73660.777          
    80076800            610.93             54624.975          52071.888          73098.901          72786.063          
    80486400            614.06             56345.762          55738.504          72725.937          70983.486          
    80896000            617.18             57623.364          54308.564          72647.484          70868.156          
    81305600            620.31             54950.139          52821.569          68147.461          70756.922          
    81715200            623.43             56540.529          54120.507          74311.879          73317.313          
    82124800            626.56             57337.208          55052.656          72107.822          74641.945          
    82534400            629.68             56974.303          55571.704          74776.353          73922.436          
    82944000            632.81             55499.498          57333.737          71888.195          74317.031          
    83353600            635.93             58319.818          55576.014          73261.789          74820.900          
    83763200            639.06             56740.525          56252.306          74066.642          74450.663          
    84172800            642.18             60139.537          58787.586          75070.502          74934.055          
    84582400            645.31             62659.431          57159.926          74965.013          74292.841          
    84992000            648.43             59022.222          55142.614          73911.443          72876.313          
    85401600            651.56             58811.466          54781.927          74305.336          73230.140          
    85811200            654.68             59728.507          59315.643          73191.726          74486.195          
    86220800            657.81             59619.379          58198.313          74890.493          74706.639          
    86630400            660.93             57765.635          59077.930          74786.144          74721.639          
    87040000            664.06             57647.156          61177.297          74356.090          75272.413          
    87449600            667.18             57956.822          56255.774          72758.455          73615.938          
    87859200            670.31             57629.123          57968.957          72623.413          72213.041          
    88268800            673.43             60749.346          57661.405          74485.820          74167.671          
    88678400            676.56             53819.914          56285.877          74158.737          75225.562          
    89088000            679.68             56737.173          55081.846          70397.471          71594.964          
    89497600            682.81             53547.289          54900.188          71763.135          68745.156          
    89907200            685.93             56585.446          55195.887          73366.183          74803.189          
    90316800            689.06             54617.462          57334.899          74680.558          73153.225          
    90726400            692.18             55668.906          53706.108          73512.275          71727.562          
    91136000            695.31             55015.129          54539.797          73991.543          74434.712          
    91545600            698.43             55927.056          55731.284          74855.862          72722.574          
    91955200            701.56             56889.769          54775.994          73881.852          71828.309          
    92364800            704.68             52910.272          53215.109          70426.839          74255.693          
    92774400            707.81             53778.364          55787.372          73149.105          75060.194          
    93184000            710.93             57233.935          54884.741          74524.843          74014.297          
    93593600            714.06             52558.529          54859.420          71872.985          75352.110          
    94003200            717.18             55600.577          51052.279          69306.857          73528.560          
    94412800            720.31             51241.682          56120.846          69399.914          73901.934          
    94822400            723.43             54031.782          55047.291          73796.537          73474.885          
    95232000            726.56             52336.058          55983.834          72040.850          74170.631          
    95641600            729.68             51430.584          54615.282          69272.042          75271.303          
    96051200            732.81             55094.974          54632.748          70027.303          72277.820          
    96460800            735.93             55337.856          56376.856          71952.112          72517.830          
    96870400            739.06             55196.809          55972.208          73763.868          74377.427          
    97280000            742.18             55763.829          57154.188          75040.015          74720.604          
    97689600            745.31             55820.635          57772.449          74845.982          72764.669          
    98099200            748.43             54581.048          55292.465          75013.726          75066.344          
    98508800            751.56             55945.082          56034.585          74722.225          74362.633          
    98918400            754.68             57558.803          60135.051          72774.251          75165.957          
    99328000            757.81             57931.980          57031.795          74884.463          74155.349          
    99737600            760.93             58514.286          56071.736          74158.944          73462.509          
    100147200            764.06             58075.285          55683.736          74883.410          69697.921          
    100556800            767.18             57729.056          55483.440          72200.180          74680.134          
    100966400            770.31             57742.517          58442.312          75081.911          75056.330          
    101376000            773.43             54666.712          57016.873          74991.493          75367.821          
    101785600            776.56             55125.397          55306.989          73275.373          74634.273          
    102195200            779.68             54666.283          56234.247          70570.703          72036.090          
